forecast_id,period,region,gl_account,forecast_amount,actual_amount
F0001,2026-11,Southeast,5200,169526.18,171217.98
F0002,2026-09,Southeast,5100,53875.29,70751.35
F0003,2026-09,Northwest,5000,197750.87,148951.17
F0004,2026-03,Central,9999,141572.98,126467.09
F0005,2026-09,Central,5000,75730.81,106627.96
F0006,2026-09,Central,5100,81386.19,94248.93
F0007,2026-02,Southeast,9999,165630.03,189073.74
F0008,2026-03,Southwest,9999,62943.08,88327.12
F0009,2026-06,Southeast,5000,165507.82,227010.64
F0010,2026-01,Southeast,5200,210678.16,141722.94
F0011,2026-07,Southeast,9999,171504.24,216707.13
F0012,2026-09,Central,9999,31814.33,43305.59
F0013,2026-11,Northeast,5200,240246.29,248980.65
F0014,2026-03,Northeast,5300,127047.43,152570.1
F0015,2026-10,Southwest,5200,133956.5,108935.89
F0016,2026-06,Northeast,5100,218834.14,198144.05
F0017,2026-02,Central,5100,196149.62,208307.78
F0018,2026-04,Southwest,5000,129956.33,112279.32
F0019,2026-10,Northeast,5100,36386.19,51170.19
F0020,2026-06,Southeast,9999,241604.32,331444.56
F0021,2026-08,Southeast,5300,95360.86,120202.09
F0022,2026-01,Northwest,5300,137220.93,123064.17
F0023,2026-04,Southeast,5200,138725.0,197454.13
F0024,2026-10,Northeast,5200,35948.08,31457.63
F0025,2026-07,Southwest,5200,145755.42,193524.99
F0026,2026-06,Northwest,5300,188689.31,237953.34
F0027,2026-06,Southeast,5200,36510.48,40141.57
F0028,2026-09,Central,5400,41544.64,43763.31
F0029,2026-02,Northeast,5200,178089.69,132685.51
F0030,2026-06,Southwest,5100,203851.88,187802.26
F0031,2026-01,Northwest,5000,160554.16,155915.7
F0032,2026-08,Southeast,5300,55833.18,51167.34
F0033,2026-03,Central,5400,58511.65,79839.46
F0034,2026-10,Central,5400,96669.26,93224.32
F0035,2026-09,Northeast,9999,100684.03,132161.03
F0036,2026-01,Central,5200,151657.96,156194.67
F0037,2026-10,Central,9999,176606.44,253239.23
F0038,2026-10,Northeast,5200,221222.3,255159.66
F0039,2026-10,Southeast,5100,242590.91,309624.4
F0040,2026-03,Southeast,9999,187315.03,209196.91
F0041,2026-07,Southwest,9999,187266.14,237768.99
F0042,2026-12,Northwest,5100,79494.23,88084.08
F0043,2026-03,Northeast,9999,29260.91,26362.73
F0044,2026-10,Northeast,9999,70875.63,74522.58
F0045,2026-09,Southwest,5400,188665.47,229156.89
F0046,2026-09,Northeast,5200,98136.15,115779.21
F0047,2026-09,Central,5400,240254.24,244514.15
F0048,2026-12,Central,5400,104714.57,132735.33
F0049,2026-05,Southeast,5200,133940.52,189642.35
F0050,2026-05,Central,9999,75595.08,107974.61
F0051,2026-06,Northeast,5200,71637.5,86967.25
F0052,2026-12,Central,5200,151109.71,211189.16
F0053,2026-07,Northeast,5200,52421.67,62449.82
F0054,2026-05,Northwest,5200,239786.99,310210.67
F0055,2026-08,Central,9999,239945.59,171134.85
F0056,2026-09,Central,5400,132792.83,107781.89
F0057,2026-10,Southeast,5100,181638.54,138012.3
F0058,2026-09,Southwest,9999,79553.06,94339.36
F0059,2026-06,Northeast,5000,77388.23,56505.66
F0060,2026-09,Southwest,5300,178268.2,135479.13
