invoice_id,vendor_id,invoice_type,invoice_date,amount,gl_account,payment_status,region
INV00001,V009,AP,2026-01-22,9994.69,5200,Overdue,Northwest
INV00002,V006,AP,2025-11-19,19089.97,5000,Overdue,Southeast
INV00003,V007,AP,2026-03-13,64913.12,5100,,Northwest
INV00004,V003,AR,2026-01-27,60266.52,9999,Pending,Central
INV00005,V003,AP,2026-02-04,65476.43,5300,Pending,Southwest
INV00006,V008,AR,2026-02-23,61629.96,5100,Pending,Northwest
INV00007,V004,AR,2026-02-17,21255.93,5000,Overdue,Central
INV00008,V009,AR,2025-11-20,73595.65,5400,Overdue,Northwest
INV00009,V002,AR,2026-03-28,43753.94,5200,Paid,Northwest
INV00010,V007,AR,2026-02-21,33011.34,5400,Paid,Northeast
INV00011,V004,AR,2026-05-01,53304.5,5000,Pending,Central
INV00012,V007,AP,2025-11-23,69097.43,5400,Overdue,Northwest
INV00013,V005,AR,2025-11-23,30925.27,5300,Overdue,Southeast
INV00014,V003,AP,2026-01-25,50037.24,5300,Pending,Southeast
INV00015,V005,AR,2025-12-23,62612.53,5200,Overdue,Southwest
INV00016,V007,AR,2026-01-13,33413.06,9999,Pending,Southeast
INV00017,V008,AP,2025-11-25,6817.27,5400,Overdue,Northwest
INV00018,V004,AR,2026-03-16,60588.94,5100,Paid,Northwest
INV00019,V004,AR,2025-12-07,63805.46,5000,,Northeast
INV00020,V004,AR,2026-01-06,30274.14,5100,Paid,Northwest
INV00021,V007,AP,2026-03-28,60406.18,9999,,Northwest
INV00022,V009,AP,2026-04-11,34506.41,5300,Overdue,Northeast
INV00023,V009,AR,2025-12-23,33720.56,5100,,Northeast
INV00024,V005,AP,2025-11-30,21159.7,5400,,Southwest
INV00025,V005,AR,2026-04-23,53659.09,5100,Overdue,Central
INV00026,V006,AP,2026-04-07,11736.88,5300,Pending,Southwest
INV00027,V002,AR,2026-01-28,25150.66,5300,,Northwest
INV00028,V004,AR,2026-02-02,67910.47,5400,Paid,Southeast
INV00029,V007,AR,2026-05-11,70734.25,5200,,Northeast
INV00030,V009,AP,2026-01-08,16846.91,5300,,Northwest
INV00031,V007,AR,2025-11-22,51096.07,5300,Pending,Northeast
INV00032,V003,AP,2026-02-01,44596.01,9999,Paid,Northwest
INV00033,V007,AP,2026-01-14,14038.81,5200,,Central
INV00034,V004,AR,2026-02-18,25643.79,5300,Overdue,Northeast
INV00035,V005,AP,2026-01-12,1944.05,5400,Paid,Central
INV00036,V004,AP,2025-11-27,3499.23,5000,Pending,Southwest
INV00037,V001,AP,2026-03-12,9903.46,9999,Paid,Southeast
INV00038,V004,AR,2025-11-14,19590.16,5200,Pending,Southeast
INV00039,V002,AP,2026-02-22,8553.36,5000,Overdue,Southeast
INV00040,V007,AR,2026-03-23,6161.74,9999,Pending,Northwest
INV00041,V005,AP,2025-12-19,58806.33,5200,,Central
INV00042,V002,AR,2026-05-09,63793.38,5300,Paid,Northeast
INV00043,V006,AR,2026-04-03,32943.79,9999,Overdue,Southeast
INV00044,V009,AR,2026-01-13,32950.3,9999,Overdue,Central
INV00045,V004,AP,2026-03-02,66181.52,5100,,Southeast
INV00046,V007,AR,2026-05-05,37325.83,5200,Pending,Northeast
INV00047,V004,AR,2026-03-07,25855.24,5400,Overdue,Southeast
INV00048,V001,AP,2026-04-21,18481.03,5300,,Southeast
INV00049,V004,AR,2025-11-28,53532.26,5300,Paid,Northwest
INV00050,V005,AP,2026-01-29,52038.14,5200,Overdue,Northeast
INV00051,V009,AR,2026-01-24,74749.04,5400,Overdue,Central
INV00052,V008,AR,2026-02-23,19229.57,5000,Pending,Central
INV00053,V002,AP,2026-03-24,16620.66,5300,Overdue,Southeast
INV00054,V009,AR,2026-04-17,62530.81,5200,Pending,Central
INV00055,V003,AR,2026-05-09,53247.38,5100,Overdue,Northwest
INV00056,V001,AR,2025-11-15,70834.68,9999,,Northwest
INV00057,V001,AR,2026-01-12,36164.21,5200,Pending,Northwest
INV00058,V005,AR,2026-04-13,61747.62,5300,,Northwest
INV00059,V001,AP,2026-04-04,60930.08,5200,Paid,Southwest
INV00060,V002,AR,2025-12-08,44911.45,5400,Pending,Southeast
INV00061,V007,AR,2026-01-19,22652.81,5400,,Central
