event_id,event_timestamp,event_type,business_domain,region,related_entity_id,operational_cost,revenue_impact,governance_risk_level,business_impact_hours,event_status
EVT0000001,2022-05-20,invoice_processed,Finance,Northeast,ENT65369,110.54,84459.64,Low,0.5,Completed
EVT0000002,2022-05-20,asset_maintenance_completed,Asset Management,Central,ENT34253,28169.9,0,Medium,7.0,Completed
EVT0000003,2022-05-20,asset_maintenance_completed,Asset Management,Northeast,ENT28767,19139.88,0,High,10.8,Completed
EVT0000004,2022-05-20,invoice_processed,Finance,Northeast,ENT90060,205.15,69392.13,Low,0.3,Completed
EVT0000005,2022-05-20,refund_issued,Finance,Southeast,ENT92228,869.12,-19083.59,Medium,5.5,Completed
EVT0000006,2022-05-20,invoice_processed,Finance,Central,ENT03855,390.45,62823.27,Low,0.9,Completed
EVT0000007,2022-05-20,invoice_processed,Finance,Northeast,ENT78061,159.96,52258.81,Low,1.0,Completed
EVT0000008,2022-05-20,invoice_processed,Finance,Southwest,ENT64053,734.1,28788.35,Low,0.6,Completed
EVT0000009,2022-05-20,work_order_completed,Operations,Southwest,ENT10201,16971.65,0,Medium,6.8,Completed
EVT0000010,2022-05-20,invoice_processed,Finance,Northeast,ENT18958,2145.12,51543.34,Low,1.4,Completed
EVT0000011,2022-05-20,work_order_completed,Operations,Southeast,ENT35383,19537.03,0,Medium,4.5,Completed
EVT0000012,2022-05-20,work_order_completed,Operations,Central,ENT37411,24902.33,0,Medium,1.9,Open
EVT0000013,2022-05-20,work_order_completed,Operations,Southeast,ENT93204,9597.51,0,Low,1.6,Delayed
EVT0000014,2022-05-20,work_order_completed,Operations,Southeast,ENT34541,17907.02,0,Medium,7.8,Completed
EVT0000015,2022-05-20,asset_maintenance_completed,Asset Management,Central,ENT36054,39616.35,0,Medium,1.0,Completed
EVT0000016,2022-05-20,invoice_processed,Finance,Southwest,ENT31452,630.43,61811.32,Low,0.3,Completed
EVT0000017,2022-05-20,work_order_completed,Operations,Southeast,ENT71684,24832.2,0,Medium,2.1,Completed
EVT0000018,2022-05-20,invoice_processed,Finance,Southwest,ENT05297,2084.05,77769.21,Low,0.7,Completed
EVT0000019,2022-05-20,invoice_processed,Finance,Southeast,ENT46943,2189.78,11530.19,Low,0.6,Completed
EVT0000020,2022-05-21,asset_maintenance_completed,Asset Management,Northwest,ENT00066,14046.27,0,High,10.9,Completed
EVT0000021,2022-05-21,work_order_completed,Operations,Southeast,ENT78061,18434.79,0,High,8.0,Completed
EVT0000022,2022-05-21,invoice_processed,Finance,Northeast,ENT14934,2395.46,39266.45,Low,0.5,Delayed
EVT0000023,2022-05-21,work_order_completed,Operations,Central,ENT50228,7701.34,0,Low,3.4,Completed
EVT0000024,2022-05-21,forecast_adjusted,FP&A,Northwest,ENT52344,492.0,4935.23,Low,1.2,Completed
EVT0000025,2022-05-21,work_order_completed,Operations,Northeast,ENT81168,28391.55,0,Medium,5.3,Completed
EVT0000026,2022-05-21,refund_issued,Finance,Northwest,ENT12712,5938.14,-23773.21,Low,0.5,Completed
EVT0000027,2022-05-21,work_order_completed,Operations,Southeast,ENT84059,9994.1,0,High,9.2,Completed
EVT0000028,2022-05-21,asset_maintenance_completed,Asset Management,Central,ENT31396,21653.16,0,Medium,1.4,Completed
EVT0000029,2022-05-21,work_order_completed,Operations,Southeast,ENT48357,10086.12,0,High,9.7,Completed
EVT0000030,2022-05-21,invoice_processed,Finance,Northwest,ENT73613,2059.81,9588.36,Low,1.1,Completed
EVT0000031,2022-05-21,work_order_completed,Operations,Northeast,ENT69929,27256.28,0,Medium,7.8,Completed
EVT0000032,2022-05-21,invoice_processed,Finance,Northeast,ENT18193,1953.2,11582.63,Low,0.9,Completed
EVT0000033,2022-05-21,invoice_processed,Finance,Central,ENT04664,1854.48,63781.68,Low,0.9,Completed
EVT0000034,2022-05-21,invoice_processed,Finance,Central,ENT70713,474.37,49074.08,Low,0.5,Completed
EVT0000035,2022-05-21,invoice_processed,Finance,Northeast,ENT06687,779.49,25575.81,Low,0.7,Completed
EVT0000036,2022-05-21,refund_issued,Finance,Northeast,ENT56398,2263.73,-22597.37,Low,3.2,Completed
EVT0000037,2022-05-21,refund_issued,Finance,Southwest,ENT97616,4668.88,-22669.73,Low,3.9,Completed
EVT0000038,2022-05-21,work_order_completed,Operations,Central,ENT77137,27437.38,0,High,9.8,Completed
EVT0000039,2022-05-21,asset_maintenance_completed,Asset Management,Southeast,ENT60483,28754.15,0,Medium,6.3,Completed
EVT0000040,2022-05-21,invoice_processed,Finance,Southeast,ENT01747,254.27,43997.6,Low,0.8,Delayed
EVT0000041,2022-05-21,vendor_onboarded,Vendor Governance,Northwest,ENT17158,10809.74,0,Medium,4.3,Completed
EVT0000042,2022-05-21,work_order_completed,Operations,Central,ENT30511,26870.21,0,Medium,6.1,Completed
EVT0000043,2022-05-21,invoice_processed,Finance,Southwest,ENT74025,2203.34,28559.65,Low,0.8,Completed
EVT0000044,2022-05-21,invoice_processed,Finance,Southeast,ENT07670,1343.66,48717.34,Low,0.3,Completed
EVT0000045,2022-05-21,asset_maintenance_completed,Asset Management,Northeast,ENT53148,36042.31,0,Medium,7.0,Delayed
EVT0000046,2022-05-21,forecast_adjusted,FP&A,Southeast,ENT77887,219.1,-5136.64,Low,0.8,Completed
EVT0000047,2022-05-21,refund_issued,Finance,Southeast,ENT27620,3040.46,-9153.1,Medium,4.1,Completed
EVT0000048,2022-05-21,refund_issued,Finance,Northeast,ENT13783,4823.97,-3168.55,Medium,4.6,Delayed
EVT0000049,2022-05-21,work_order_completed,Operations,Northeast,ENT37563,15975.67,0,High,9.4,Reversed
EVT0000050,2022-05-21,invoice_processed,Finance,Southeast,ENT33243,1910.5,14919.99,Low,0.3,Completed
EVT0000051,2022-05-21,invoice_processed,Finance,Central,ENT65976,2267.22,65613.25,Low,1.5,Completed
EVT0000052,2022-05-21,work_order_completed,Operations,Central,ENT69372,11904.66,0,High,8.7,Completed
EVT0000053,2022-05-21,vendor_onboarded,Vendor Governance,Central,ENT20911,7129.33,0,Low,1.9,Completed
EVT0000054,2022-05-21,refund_issued,Finance,Northeast,ENT11304,2657.69,-8689.89,Low,3.8,Reversed
EVT0000055,2022-05-21,invoice_processed,Finance,Northwest,ENT47624,104.9,73545.4,Low,0.5,Completed
EVT0000056,2022-05-21,work_order_completed,Operations,Southwest,ENT32128,8091.24,0,High,8.3,Completed
EVT0000057,2022-05-22,invoice_processed,Finance,Northwest,ENT17045,1902.32,36449.62,Low,1.3,Open
EVT0000058,2022-05-22,invoice_processed,Finance,Southwest,ENT53689,412.0,20872.12,Low,0.1,Completed
EVT0000059,2022-05-22,asset_maintenance_completed,Asset Management,Central,ENT57022,10662.67,0,High,10.8,Delayed
EVT0000060,2022-05-22,asset_maintenance_completed,Asset Management,Northeast,ENT30747,26810.75,0,Medium,6.4,Delayed
EVT0000061,2022-05-22,work_order_completed,Operations,Northwest,ENT06638,11446.09,0,High,8.8,Completed
EVT0000062,2022-05-22,refund_issued,Finance,Central,ENT02137,3776.5,-4950.69,Medium,5.7,Completed
EVT0000063,2022-05-22,work_order_completed,Operations,Northeast,ENT61819,808.5,0,Medium,5.5,Delayed
EVT0000064,2022-05-22,invoice_processed,Finance,Northwest,ENT96996,1896.7,30699.24,Low,0.4,Completed
EVT0000065,2022-05-22,refund_issued,Finance,Northwest,ENT08700,1315.27,-17905.69,Medium,6.0,Completed
EVT0000066,2022-05-22,asset_maintenance_completed,Asset Management,Northeast,ENT27547,6940.29,0,High,9.3,Completed
EVT0000067,2022-05-22,work_order_completed,Operations,Southwest,ENT51458,14787.88,0,Medium,7.6,Completed
EVT0000068,2022-05-22,invoice_processed,Finance,Southwest,ENT64911,375.38,79459.2,Low,1.0,Completed
EVT0000069,2022-05-22,invoice_processed,Finance,Northeast,ENT20556,2231.16,32204.18,Low,0.3,Completed
EVT0000070,2022-05-22,work_order_completed,Operations,Northeast,ENT28296,8543.37,0,High,8.6,Completed
EVT0000071,2022-05-22,invoice_processed,Finance,Central,ENT73624,447.9,74704.23,Low,1.1,Open
EVT0000072,2022-05-22,invoice_processed,Finance,Southwest,ENT87102,935.9,44232.95,Low,1.0,Completed
EVT0000073,2022-05-23,forecast_adjusted,FP&A,Northeast,ENT26521,920.03,-3928.5,Low,0.5,Completed
EVT0000074,2022-05-23,vendor_onboarded,Vendor Governance,Central,ENT18178,10246.78,0,Low,2.0,Completed
EVT0000075,2022-05-23,work_order_completed,Operations,Northwest,ENT89212,1545.6,0,Low,3.8,Completed
EVT0000076,2022-05-23,invoice_processed,Finance,Northeast,ENT28217,1661.75,31937.95,Low,0.4,Delayed
EVT0000077,2022-05-23,invoice_processed,Finance,Northeast,ENT86347,2301.74,36338.17,Low,0.9,Completed
EVT0000078,2022-05-23,invoice_processed,Finance,Central,ENT75937,2236.55,83403.54,Low,0.9,Delayed
EVT0000079,2022-05-23,work_order_completed,Operations,Northeast,ENT96354,26742.6,0,High,9.6,Completed
EVT0000080,2022-05-23,work_order_completed,Operations,Southeast,ENT32097,21190.09,0,High,9.2,Completed
EVT0000081,2022-05-23,work_order_completed,Operations,Southwest,ENT57281,9135.3,0,Medium,6.5,Open
EVT0000082,2022-05-23,work_order_completed,Operations,Northwest,ENT44894,25632.41,0,Medium,6.2,Completed
EVT0000083,2022-05-23,asset_maintenance_completed,Asset Management,Southwest,ENT04087,3250.65,0,Medium,4.8,Completed
