work_order_id,asset_id,employee_id,assigned_region,completion_status,response_time_hours,operational_cost,last_updated_date
WO00001,A0012,E0009,Northwest,In Progress,71.5,13270.62,2026-02-06
WO00002,A0005,E0016,Northeast,Complete,49.8,2949.09,2026-03-09
WO00003,A0015,E0020,Northwest,Done,75.4,21707.78,2026-03-07
WO00004,A0020,E0015,Northwest,Open,95.9,21220.64,2026-03-19
WO00005,A0007,E0016,Northeast,Open,86.4,8222.27,2026-04-24
WO00006,A0005,E0005,Central,Delayed,61.1,13821.82,2026-04-01
WO00007,A0025,E0020,Southeast,Complete,44.1,15234.31,2026-04-30
WO00008,A0008,E0028,Southeast,Done,83.2,10894.23,2026-01-19
WO00009,A0015,E0014,Central,Closed,38.9,18307.91,2026-04-02
WO00010,A0028,E0011,Central,Complete,91.6,17248.82,2026-03-13
WO00011,A0005,E0003,Northwest,Open,42.0,18678.58,2026-03-26
WO00012,A0009,E0018,Northwest,Delayed,91.9,14151.66,2026-02-16
WO00013,A0008,E0014,Central,Done,90.4,10717.69,2026-01-15
WO00014,A0004,E0010,Southeast,Complete,34.4,14553.48,2026-04-15
WO00015,A0010,E0022,Northeast,In Progress,81.5,8915.32,2026-03-02
WO00016,A0024,E0004,Central,Delayed,22.5,10870.53,2026-03-02
WO00017,A0040,E0020,Southeast,Open,58.9,16531.32,2026-02-13
WO00018,A0018,E0001,Southwest,Complete,67.8,7897.37,2026-03-30
WO00019,A0023,E0001,Southwest,In Progress,54.8,10169.41,2026-04-24
WO00020,A0002,E0003,Southeast,In Progress,36.7,11477.73,2026-04-22
WO00021,A0024,E0010,Central,Delayed,57.6,22112.72,2026-04-23
WO00022,A0011,E0025,Southeast,Open,65.0,6984.55,2026-02-17
WO00023,A0028,E0016,Southeast,Closed,40.3,5585.33,2026-03-08
WO00024,A0008,E0012,Northeast,Open,27.9,17042.53,2026-03-11
WO00025,A0034,E0022,Central,Open,21.9,24615.03,2026-05-05
WO00026,A0001,E0007,Central,In Progress,73.9,19162.98,2026-04-05
WO00027,A0021,E0004,Northwest,Closed,72.0,4598.45,2026-03-25
WO00028,A0035,E0023,Southwest,Delayed,54.1,16784.19,2026-03-28
WO00029,A0005,E0013,Northwest,Closed,2.8,23048.77,2026-01-22
WO00030,A0021,E0019,Northeast,Delayed,39.4,16093.51,2026-04-05
WO00031,A0008,E0013,Northwest,Complete,17.3,23703.45,2026-03-15
WO00032,A0024,E0003,Northeast,Open,24.1,14824.56,2026-03-06
WO00033,A0006,E0013,Central,Done,33.3,8493.45,2026-04-21
WO00034,A0005,E0017,Northwest,Delayed,49.4,22671.59,2026-03-29
WO00035,A0023,E0024,Southwest,In Progress,10.8,6585.21,2026-04-20
WO00036,A0039,E0005,Northwest,In Progress,91.4,15791.73,2026-03-14
WO00037,A0037,E0025,Southeast,Closed,65.7,22080.69,2026-02-19
WO00038,A0040,E0011,Central,In Progress,42.8,11855.8,2026-02-21
WO00039,A0020,E0026,Central,Delayed,6.3,12806.59,2026-04-03
WO00040,A0030,E0015,Northwest,Open,36.0,7355.16,2026-02-19
WO00041,A0006,E0020,Southeast,Delayed,37.5,14613.15,2026-01-31
WO00042,A0003,E0015,Southeast,Done,18.9,15223.89,2026-03-09
WO00043,A0010,E0002,Northeast,Open,78.0,20975.09,2026-02-10
WO00044,A0006,E0017,Southwest,Open,24.5,11084.52,2026-03-17
WO00045,A0034,E0017,Southeast,In Progress,35.6,22968.94,2026-03-24
WO00046,A0027,E0025,Central,Done,57.8,19783.37,2026-02-19
WO00047,A0022,E0003,Central,Open,54.0,9817.46,2026-04-10
WO00048,A0039,E0028,Southwest,Complete,8.7,16674.4,2026-01-15
WO00049,A0023,E0010,Northeast,In Progress,57.5,23465.55,2026-04-03
WO00050,A0036,E0013,Central,In Progress,64.7,20766.73,2026-02-07
WO00051,A0034,E0003,Northeast,Delayed,35.4,9224.29,2026-04-19
WO00052,A0014,E0011,Northeast,In Progress,22.5,3654.74,2026-05-03
WO00053,A0019,E0028,Northwest,Delayed,74.2,20919.22,2026-01-19
WO00054,A0034,E0002,Central,Delayed,13.4,9573.82,2026-04-22
WO00055,A0012,E0027,Southeast,In Progress,69.5,1331.39,2026-03-27
WO00056,A0016,E0015,Southeast,Complete,72.5,19649.06,2026-04-13
WO00057,A0035,E0008,Central,Closed,86.9,5051.9,2026-02-15
WO00058,A0037,E0015,Northeast,Complete,74.9,12696.94,2026-03-20
WO00059,A0011,E0027,Southwest,Delayed,14.1,6437.58,2026-02-19
WO00060,A0031,E0028,Central,Delayed,89.8,17857.17,2026-03-07
